,length,ticket
0,21171,A/5 21171
1,17599,PC 17599
2,3101282,STON/O2. 3101282
3,113803,113803
4,373450,373450
5,330877,330877
6,17463,17463
7,349909,349909
8,347742,347742
9,237736,237736
10,9549,PP 9549
11,113783,113783
12,2151,A/5. 2151
13,347082,347082
14,350406,350406
15,248706,248706
16,382652,382652
17,244373,244373
18,345763,345763
19,2649,2649
20,239865,239865
21,248698,248698
22,330923,330923
23,113788,113788
24,349909,349909
25,347077,347077
26,2631,2631
27,19950,19950
28,330959,330959
29,349216,349216
30,17601,PC 17601
31,17569,PC 17569
32,335677,335677
33,24579,C.A. 24579
34,17604,PC 17604
35,113789,113789
36,2677,2677
37,2152,A./5. 2152
38,345764,345764
39,2651,2651
40,7546,7546
41,11668,11668
42,349253,349253
43,2123,SC/Paris 2123
44,330958,330958
45,23567,S.C./A.4. 23567
46,370371,370371
47,14311,14311
48,2662,2662
49,349237,349237
50,3101295,3101295
51,39886,A/4. 39886
52,17572,PC 17572
53,2926,2926
54,113509,113509
55,19947,19947
56,31026,C.A. 31026
57,2697,2697
58,34651,C.A. 34651
59,2144,CA 2144
60,2669,2669
61,113572,113572
62,36973,36973
63,347088,347088
64,17605,PC 17605
65,2661,2661
66,29395,C.A. 29395
67,3464,S.P. 3464
68,3101281,3101281
69,315151,315151
70,33111,C.A. 33111
71,2144,CA 2144
72,14879,S.O.C. 14879
73,2680,2680
74,1601,1601
75,348123,348123
76,349208,349208
77,374746,374746
78,248738,248738
79,364516,364516
80,345767,345767
81,345779,345779
82,330932,330932
83,113059,113059
84,14885,SO/C 14885
85,3101278,3101278
86,6608,W./C. 6608
87,392086,SOTON/OQ 392086
88,19950,19950
89,343275,343275
90,343276,343276
91,347466,347466
92,5734,W.E.P. 5734
93,2315,C.A. 2315
94,364500,364500
95,374910,374910
96,17754,PC 17754
97,17759,PC 17759
98,231919,231919
99,244367,244367
100,349245,349245
101,349215,349215
102,35281,35281
103,7540,7540
104,3101276,3101276
105,349207,349207
106,343120,343120
107,312991,312991
108,349249,349249
109,371110,371110
110,110465,110465
111,2665,2665
112,324669,324669
113,4136,4136
114,2627,2627
115,,STON/O 2. 3101294
116,370369,370369
