Pclass,Name,Sex,Age,Fare,Embarked,Relatives
3,0,0,34.5,7.8292,0,0
3,1,1,47.0,7.0,1,1
2,0,0,62.0,9.6875,0,0
3,0,0,27.0,8.6625,1,0
3,1,1,22.0,12.2875,1,2
3,0,0,14.0,9.225,1,0
3,2,1,30.0,7.6292,0,0
2,0,0,26.0,29.0,1,2
3,1,1,18.0,7.2292,2,0
3,0,0,21.0,24.15,1,2
3,0,0,27.0,7.8958,1,0
1,0,0,46.0,26.0,1,0
1,1,1,23.0,82.2667,1,1
2,0,0,63.0,26.0,1,1
1,1,1,47.0,61.175,1,1
2,1,1,24.0,27.7208,2,1
2,0,0,35.0,12.35,0,0
3,0,0,21.0,7.225,2,0
3,2,1,27.0,7.925,1,1
3,1,1,45.0,7.225,2,0
1,0,0,55.0,59.4,2,1
3,3,0,9.0,3.1708,1,1
1,1,1,27.0,31.6833,1,0
1,0,0,21.0,61.3792,2,1
1,1,1,48.0,262.375,2,4
3,0,0,50.0,14.5,1,1
1,2,1,22.0,61.9792,2,1
3,0,0,22.5,7.225,2,0
1,0,0,41.0,30.5,1,0
3,0,0,27.0,21.6792,2,2
2,0,0,50.0,26.0,1,1
2,0,0,24.0,31.5,1,2
3,1,1,33.0,20.575,1,3
3,1,1,27.0,23.45,1,3
1,0,0,30.0,57.75,2,1
3,0,0,18.5,7.2292,2,0
3,2,1,27.0,8.05,1,0
3,2,1,21.0,8.6625,1,0
3,0,0,25.0,9.5,1,0
3,0,0,27.0,56.4958,1,0
3,0,0,39.0,13.4167,2,1
1,0,0,27.0,26.55,1,0
3,0,0,41.0,7.85,1,0
2,1,1,30.0,13.0,1,0
1,1,1,45.0,52.5542,1,1
3,0,0,25.0,7.925,1,0
1,0,0,45.0,29.7,2,0
3,0,0,27.0,7.75,0,0
1,1,1,60.0,76.2917,2,0
3,1,1,36.0,15.9,1,2
1,0,0,24.0,60.0,1,1
2,0,0,27.0,15.0333,2,0
2,2,1,20.0,23.0,1,3
1,2,1,28.0,263.0,1,5
2,0,0,27.0,15.5792,2,0
3,3,0,10.0,29.125,0,5
3,0,0,35.0,7.8958,1,0
3,0,0,25.0,7.65,1,0
3,0,0,27.0,16.1,1,1
1,2,1,36.0,262.375,2,0
3,0,0,17.0,7.8958,1,0
2,0,0,32.0,13.5,1,0
3,0,0,18.0,7.75,1,0
3,2,1,22.0,7.725,0,0
1,3,0,13.0,262.375,2,4
2,1,1,27.0,21.0,1,0
3,2,1,18.0,7.8792,0,0
1,0,0,47.0,42.4,1,0
1,0,0,31.0,28.5375,2,0
1,1,1,60.0,263.0,1,5
3,2,1,24.0,7.75,0,0
3,0,0,21.0,7.8958,1,0
3,2,1,29.0,7.925,1,0
1,0,0,28.5,27.7208,2,0
1,2,1,35.0,211.5,2,0
1,0,0,32.5,211.5,2,0
3,0,0,27.0,8.05,1,0
1,1,1,55.0,25.7,1,2
2,0,0,30.0,13.0,1,0
3,2,1,24.0,7.75,0,0
3,3,0,6.0,15.2458,2,2
1,0,0,67.0,221.7792,1,1
1,0,0,49.0,26.0,1,0
3,0,0,27.0,7.8958,1,0
2,0,0,27.0,10.7083,0,0
3,0,0,27.0,14.4542,2,1
3,2,1,27.0,7.8792,0,0
3,2,1,18.0,8.05,1,0
3,4,1,27.0,7.75,0,0
2,3,0,2.0,23.0,1,2
3,1,1,22.0,13.9,1,1
3,0,0,27.0,7.775,1,0
1,1,1,27.0,52.0,1,3
3,0,0,27.0,8.05,1,0
1,0,0,25.0,26.0,2,0
3,0,0,25.0,7.7958,1,0
1,1,1,76.0,78.85,1,1
3,0,0,29.0,7.925,1,0
3,2,1,20.0,7.8542,1,0
3,0,0,33.0,8.05,1,0
1,1,1,43.0,55.4417,2,1
2,0,0,27.0,26.0,1,1
3,0,0,27.0,7.75,0,0
3,0,0,26.0,7.775,1,0
3,1,1,16.0,8.5167,2,2
3,0,0,28.0,22.525,1,0
3,0,0,21.0,7.8208,0,0
3,0,0,27.0,7.75,0,0
3,0,0,27.0,8.7125,1,0
2,0,0,18.5,13.0,1,0
2,0,0,41.0,15.0458,2,0
3,2,1,27.0,7.7792,0,0
1,2,1,36.0,31.6792,2,0
3,2,1,18.5,7.2833,0,0
1,1,1,63.0,221.7792,1,1
3,0,0,18.0,14.4542,2,1
3,0,0,27.0,6.4375,2,0
3,2,1,1.0,16.7,1,2
1,0,0,36.0,75.2417,2,0
2,1,1,29.0,26.0,1,1
2,2,1,12.0,15.75,1,0
3,0,0,27.0,7.75,0,1
1,1,1,35.0,57.75,2,1
3,0,0,28.0,7.25,1,0
3,0,0,27.0,7.75,0,0
